Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
9985,Long Beach Family Medicine Center,HOSP-EC,Hospital Extension Clinic,11/23/2016,761 Franklin Boulevard,,Long Beach,New York,11561,5165442351.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Mount Sinai South Nassau,527.0,2950001H,South Nassau Communities Hospital Inc,2445 Oceanside Road,,Oceanside,New York,11572,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029.0,Not for Profit Corporation,40.594017,-73.650009,"(40.594017, -73.650009)"
9251,NSUH Imaging at Great Neck,HOSP-EC,Hospital Extension Clinic,09/27/2011,611 Northern Blvd,,Great Neck,New York,11021,5162333456.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,North Shore University Hospital,541.0,2951001H,North Shore University Hospital Inc,300 Community Drive,,Manhasset,New York,11030,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.782249,-73.716301,"(40.782249, -73.716301)"
15030,Rodden Home,AH,Adult Home,08/08/1978,15 Wittridge Street,,Lake Ronkonkoma,New York,11779,6315851906.0,6315851906.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-109,Matthew Patkowski Margaret Patkowski,15 Wittridge Street,,Lake Ronkonkoma,New York,11779-4117,,,,,New York,,Individual,40.819708,-73.109571,"(40.819708, -73.109571)"
15052,Sunrise of Dix Hills,AH,Adult Home,12/31/2010,337 Deer Park Avenue,,Dix Hills,New York,11746,6313851733.0,6313851754.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-923,"GWC - Dix Hills, Inc.","7900 Westpark Drive, Suite T-900",,"McLean, VA",New York,22102,,,,,New York,,Business Corporation,40.815968,-73.34397,"(40.815968, -73.34397)"
6361,Suffolk Primary Health,DTC,Diagnostic and Treatment Center,03/26/2002,170 Old Country Road,,Riverhead,New York,11901,6312084460.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5155205R,"Suffolk Primary Health, LLC",170 Old Country Road,,Riverhead,New York,11901,,,,,New York,,LLC,40.936703,-72.650948,"(40.936703, -72.650948)"
7754,Womans Health Source,HOSP-EC,Hospital Extension Clinic,04/23/1999,2100 Middle Country Road,,Centereach,New York,11720,,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,St. Charles Hospital,896.0,5149001H,"Catholic Health System of Long Island, Inc.",1 Huntington Quadrangle,,Melville,New York,11747,St Charles Hosp and Rehab Ctr Inc,200 Bell Terre Road,,Port Jefferson,New York,11777.0,Not for Profit Corporation,40.858307,-73.085442,"(40.858307, -73.085442)"
881,Massapequa Center Rehabilitation & Nursing,NH,Residential Health Care Facility - SNF,02/01/1979,101 Louden Ave.,,Amityville,New York,11701,6312640222.0,6313960024.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5120302N,Massapequa Center LLC,101 Louden Avenue,,Amityville,New York,11701,,,,,New York,,LLC,40.684139,-73.422721,"(40.684139, -73.422721)"
15167,"Jericho Road Community Health Center, Breckenridge",DTC-EC,Diagnostic and Treatment Center Extension Clinic,07/10/2021,182 Breckenridge Street,,Buffalo,New York,14213,,,,29,Nassau,1,Western Regional Office - Buffalo,Jericho Road Community Health Center,9542.0,1401237R,Jericho Road Ministries Inc.,184 Barton Street,,Buffalo,New York,14213,,,,,New York,,Not for Profit Corporation,,,
909,Surge Rehabilitation and Nursing LLC,NH,Residential Health Care Facility - SNF,02/01/1989,49 Oakcrest Avenue,,Middle Island,New York,11953,6319248820.0,6319245619.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5151325N,Surge Rehabilitation and Nursing LLC,49 Oakcrest Avenue,,Middle Island,New York,11953,,,,,New York,,LLC,40.891926,-72.96788,"(40.891926, -72.96788)"
15157,PrecisionCare Surgery Center,DTC,Diagnostic and Treatment Center,04/20/2021,28 Research Way,,East Setauket,New York,11733,6315387101.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5151211R,"Precision SC, LLC",28 Research Way,,East Setauket,New York,11733,,,,,New York,,LLC,,,
14816,The Arbors at Westbury,AH,Adult Home,07/15/1991,45 Jericho Turnpike,,Jericho,New York,11753,5163336400.0,5168760473.0,www.seniorcareassistedliving.com#http://www.seniorcareassistedliving.com#,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,400-F-307,"Arcadia Management, Inc.",1515 Veterans Memorial Highway,,Islandia,New York,11749-4848,,,,,New York,,Business Corporation,40.777584,-73.563997,"(40.777584, -73.563997)"
3989,Gurwin Jewish Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,10/17/1988,68 Hauppauge Road,,Commack,New York,11725,6314996500.0,6317152908.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5153307N,Rosalind & Joseph Gurwin Jewish Geriatric Ctr of Long Island Inc,68 Hauppauge Road,,Commack,New York,11725,,,,,New York,,Not for Profit Corporation,40.828209,-73.299896,"(40.828209, -73.299896)"
3853,Garden City Surgi Center,DTC,Diagnostic and Treatment Center,04/07/2008,400 Endo Blvd,,Garden City,New York,11530,5168328504.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2905204R,"Endo Group, LLC",400 Endo Boulevard,,Garden City,New York,11530,,,,,New York,,LLC,40.733765,-73.591286,"(40.733765, -73.591286)"
13925,"Home Care Specialist, Inc.",LHCSA,Licensed Home Care Services Agency,11/01/1996,249-12 Jericho Turnpike,Suite 104,Floral Park,New York,11001,7183470036.0,7183431969.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,9855L001,"Home Care Specialist, Inc.",249-12 Jericho Turnpike,Suite 104,Floral Park,New York,11001,,,Suite 104,,New York,,Business Corporation,40.725937,-73.717713,"(40.725937, -73.717713)"
12754,"Premier Home Health Care Services, Inc.",LHCSA,Licensed Home Care Services Agency,03/15/2002,3075 Veterans Memorial Highway,Suite 181,Ronkonkoma,New York,11779,6319798009.0,6318631970.0,www.premierhomehealthcare.com,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,1086L008,"Premier Home Health Care Services, Inc.",1430 Broadway,Suite 1615,New York,New York,10018,,,Suite 1615,,New York,,Business Corporation,40.789295,-73.137054,"(40.789295, -73.137054)"
4298,"Tender Loving Care, an Amedisys Company",CHHA,Certified Home Health Agency,02/14/2005,"3237 Route 112, Building 6, Suite 2",,Medford,New York,11763,5169353737.0,5169325337.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,2952603,"Tender Loving Care Health Care Servics of Nassau Suffolk, LLC",960 South Broadway,Suite 110-A,Hicksville,New York,11801,,,Suite 110-A,,New York,,LLC,,,
529,United Cerebral Palsy Treatment and Rehab Center,DTC,Diagnostic and Treatment Center,09/27/1979,380 Washington Ave,,Roosevelt,New York,11575,5163782000.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2950200R,United Cerebral Palsy Association of Nassau County Inc,380 Washington Ave,,Roosevelt,New York,11575,,,,,New York,,Not for Profit Corporation,40.67955,-73.576149,"(40.67955, -73.576149)"
9037,"Long Island Hand and Orthopedic Surgery Center, LLC",DTC,Diagnostic and Treatment Center,06/23/2009,166 East Main Street,,Huntington,New York,11743,6318122678.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5153211R,"Long Island Hand and Orthopedic Surgery Center, LLC",166 East Main Street,,Huntington,New York,11743,,,,,New York,,LLC,40.879955,-73.400848,"(40.879955, -73.400848)"
13013,Amber Court @ Suffolk County Llc,LHCSA,Licensed Home Care Services Agency,01/08/2018,130 Lake Avenue,,Nesconset,New York,11767,6316360620.0,5162135486.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,1642L001,Amber Court @ Suffolk County Llc,130 Lake Avenue,,Nesconset,New York,11767,,,,,New York,,LLC,40.854293,-73.154714,"(40.854293, -73.154714)"
15072,The Vincent Bove Health Center at Jefferson's Ferry,EHP,Enriched Housing Program,07/30/2001,One Jefferson Ferry Drive,,South Setauket,New York,11720,6316502600.0,6316502620.0,www.jeffersonsferry.org#http://www.jeffersonsferry.org#,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-S-291,"Active Retirement Community, Inc.",500 Mather Drive,,South Setauket,New York,11720-4701,,,,,New York,,Not for Profit Corporation,40.898709,-73.079312,"(40.898709, -73.079312)"
10443,South Shore University Hospital Pre-Surgical Testing Extension Clinic,HOSP-EC,Hospital Extension Clinic,08/17/2020,2048 Sunrise Highway,,Bay Shore,New York,11706,6319687466.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,South Shore University Hospital,924.0,5154000H,South Shore University Hospital,301 East Main Street,,Bay Shore,New York,11706,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.739167,-73.226735,"(40.739167, -73.226735)"
6281,Pediatric & Adolescent Med Clinic,HOSP-EC,Hospital Extension Clinic,09/15/1998,410 Lakevile Rd,,New Hyde Park,New York,11040,5164654377.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Long Island Jewish Medical Center,1630.0,7003004H,Long Island Jewish Medical Center,270-05 76 Avenue,,New Hyde Park,New York,11040,"Northwell Quality and Medical Affairs, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.734882,-73.688087,"(40.734882, -73.688087)"
10110,New Hyde Park Endoscopy,DTC,Diagnostic and Treatment Center,12/12/2017,1991 Marcus Avenue,,Lake Success,New York,11042,,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2963202R,"NHPE, LLC",1991 Marcus Avenue,,Lake Success,New York,11042,,,,,New York,,LLC,40.757247,-73.692371,"(40.757247, -73.692371)"
15305,Charles Evans Center-Melillo Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,04/20/2022,113 Glen Cove Avenue,,Glen Cove,New York,11542,5166762388.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Charles Evans Center,5771.0,2950212R,"Charles Evans Center, Inc.",857 South Oyster Bay Road,,Bethpage,New York,11714,,,,,New York,,Not for Profit Corporation,,,
9450,Stony Brook Southampton Hospital Radiology/Edie Windsor Healthcare Center,HOSP-EC,Hospital Extension Clinic,03/18/2013,182 West Montauk Highway,Building B,Hampton Bays,New York,11946,6317268436.0,6317268704.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Stony Brook University Hospital,245.0,5151001H,State University of New York,178-50 Linden Blvd,,Jamaica,New York,11434,,,,,New York,,State,40.874554,-72.53656,"(40.874554, -72.53656)"
7072,Northwell Family Health Center at Huntington,DTC,Diagnostic and Treatment Center,02/06/1997,1572 New York Avenue,,Huntington Station,New York,11746,6314255244.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5153207R,"Huntington Hospital Dolan Family Health Center, Inc",284 Pulaski Road,,Green Lawn,New York,11740,,,,,New York,,Not for Profit Corporation,,,
9650,NYU Langone Hospital-Long Island Pediatric Center,HOSP-EC,Hospital Extension Clinic,03/24/2014,175 Fulton Avenue,,Hempstead,New York,11550,5165354102.0,5162920565.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,NYU Langone Hospitals,1463.0,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.707481,-73.629768,"(40.707481, -73.629768)"
3981,"Hospice Care of Long Island, Queens, South Shore",HSPC,Hospice,09/30/1988,99 Sunnyside Boulevard,,Woodbury,New York,11797,9146667616.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2912500F,Hospice Care Network,225 Community Drive,,Lake Success,New York,11021,,,,,New York,,Not for Profit Corporation,40.7995,-73.479301,"(40.7995, -73.479301)"
15045,Islip Pearl Garden,AH,Adult Home,02/28/1983,36 Locust Avenue,,Islip,New York,11751,6318593228.0,6312771081.0,pearlgardenmanor.org,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-963,Islip Pearl Garden LLC,634 Van Dam Street,,Valley Stream,New York,11581,,,,,New York,,LLC,40.730397,-73.213312,"(40.730397, -73.213312)"
15067,Whisper Woods of Smithtown,AH,Adult Home,07/20/2018,71 St. Johnland Road,,Smithtown,New York,11787,6313203181.0,6317805296.0,www.benchmarkseniorliving.com#http://www.benchmarkseniorliving.com#,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-957,"BSL Smithtown Operations, Inc.",71 St. Johnland Road.,,Smithtown,New York,11787,,,,,New York,,Business Corporation,40.866967,-73.22007,"(40.866967, -73.22007)"
13995,Peconic Bay Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,04/12/2021,700 Old Country Road (Building 3),,Riverhead,New York,11901,6312080282.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Bronx Dialysis Center,6661.0,7000272R,"Knickerbocker Dialysis, Inc",1615-1617 Eastchester Road,,Bronx,New York,10461,,,,,New York,,Business Corporation,40.935328,-72.668092,"(40.935328, -72.668092)"
13121,"Recco Home Care Service, Inc.",LHCSA,Licensed Home Care Services Agency,03/04/2011,1787 Veterans Highway,Suite 30,Islandia,New York,11749-1500,6313600066.0,6313600463.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,1819L002,"Recco Home Care Service, Inc.",524 Hicksville Road,,Massapequa,New York,11758,,,,,New York,,Business Corporation,40.80504,-73.178619,"(40.80504, -73.178619)"
518,Long Island Jewish Valley Stream,HOSP,Hospital,01/01/1901,900 Franklin Avenue,,Valley Stream,New York,11580,5162566000.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Long Island Jewish Medical Center,1630.0,7003004H,Long Island Jewish Medical Center,270-05 76 Avenue,,New Hyde Park,New York,11040,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.681789,-73.685814,"(40.681789, -73.685814)"
6976,LIJ Center for Advanced Medicine,HOSP-EC,Hospital Extension Clinic,06/21/2005,450 Lakeville Road,,Lake Success,New York,11042,5167348000.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Long Island Jewish Medical Center,1630.0,7003004H,Long Island Jewish Medical Center,270-05 76 Avenue,,New Hyde Park,New York,11040,"Northwell Quality and Medical Affairs, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.753628,-73.703323,"(40.753628, -73.703323)"
13779,"Cottage Homecare Services, Inc.",LHCSA,Licensed Home Care Services Agency,06/04/1992,25 Newbridge Road,Ste 302,Hicksville,New York,11801,5163672266.0,5163671067.0,www.cottagehomecareservices.com,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,9239L001,"Cottage Homecare Services, Inc.",25 Newbridge Road,Ste 302,Hicksville,New York,11801,,,Ste 302,,New York,,Business Corporation,40.768093,-73.526933,"(40.768093, -73.526933)"
10420,South Shore University Hospital Sleep Center Extension Clinic,HOSP-EC,Hospital Extension Clinic,07/01/2020,125 Kennedy Drive,,Hauppauge,New York,11788,6319683150.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,South Shore University Hospital,924.0,5154000H,South Shore University Hospital,301 East Main Street,,Bay Shore,New York,11706,"Northwell Quality and Medical Affairs, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.81103,-73.238057,"(40.81103, -73.238057)"
5769,St. Charles Rehabilitation,HOSP-EC,Hospital Extension Clinic,08/02/1995,3 Technology Drive,,East Setauket,New York,11733,,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,St. Charles Hospital,896.0,5149001H,"Catholic Health System of Long Island, Inc.",1 Huntington Quadrangle,,Melville,New York,11747,St Charles Hosp and Rehab Ctr Inc,200 Bell Terre Road,,Port Jefferson,New York,11777.0,Not for Profit Corporation,40.896912,-73.087799,"(40.896912, -73.087799)"
13356,"Safe And Prudent, Llc",LHCSA,Licensed Home Care Services Agency,01/19/2016,401 Broadway,,Lawrence,New York,11559,5163743395.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2182L001,"Safe And Prudent, Llc",401 Broadway,,Lawrence,New York,11559,,,,,New York,,LLC,40.617137,-73.7254,"(40.617137, -73.7254)"
6702,"Advantage Care Diagnostic and Treatment Center, Inc.",DTC,Diagnostic and Treatment Center,12/21/2004,189 Wheatley Road,,Glen Head,New York,11545,5166864400.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2987200R,"Advantage Care Diagnostic and Treatment Center, Inc.",189 Wheatley Road,,Brookville,New York,11545,,,,,New York,,Not for Profit Corporation,40.808709,-73.581777,"(40.808709, -73.581777)"
9691,South Nassau Communities Hospital Off-Campus Emergency Department,HOSP,Hospital,06/30/2014,325 East Bay Drive,,Long Beach,New York,11561,5168701010.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Mount Sinai South Nassau,527.0,2950001H,South Nassau Communities Hospital Inc,2445 Oceanside Road,,Oceanside,New York,11572,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029.0,Not for Profit Corporation,40.594237,-73.654958,"(40.594237, -73.654958)"
12777,"Best Island Care, Inc.",LHCSA,Licensed Home Care Services Agency,09/29/2010,50 Clinton Street,Suite 203,Hempstead,New York,11550,5167313770.0,5167319271.0,www.bestcare.com,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,1149L001,"Best Island Care, Inc.",3000 Hempstead Turnpike,Suite 205,Levittown,New York,11756,,,Suite 205,,New York,,Business Corporation,40.708214,-73.618389,"(40.708214, -73.618389)"
6130,Garden City Dialysis Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,07/01/2006,1100 Stewart Ave,,Garden City,New York,11530,5163570004.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Bronx Dialysis Center,6661.0,7000272R,"Knickerbocker Dialysis, Inc",1615-1617 Eastchester Road,,Bronx,New York,10461,,,,,New York,,Business Corporation,40.73576,-73.593124,"(40.73576, -73.593124)"
12790,"Tri-County Home Nursing Services, Inc.",LHCSA,Licensed Home Care Services Agency,02/19/2003,1065 Old Country Rd.,,Westbury,New York,11590-5642,5169971208.0,5169974460.0,www.tchns.com,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,1168L001,"Tri-County Home Nursing Services, Inc.",1065 Old Country Rd.,,Westbury,New York,11590-5642,,,,,New York,,Business Corporation,40.755352,-73.556532,"(40.755352, -73.556532)"
941,Acadia Center for Nursing and Rehabilitation,NH,Residential Health Care Facility - SNF,12/11/1985,1146 Woodcrest Avenue,,Riverhead,New York,11901,6317277744.0,6317277223.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5155301N,"Riverhead Care Center, LLC",1146 Woodcrest Avenue,,Riverhead,New York,11901,,,,,New York,,LLC,40.930679,-72.684074,"(40.930679, -72.684074)"
12912,Promptcare Home Infusion Of New York LLC,LHCSA,Licensed Home Care Services Agency,12/06/2007,51 East Bethpage Road,Suite 200B,Plainview,New York,11803,8667666782.0,8008156808.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,1481L001,Promptcare Home Infusion Of New York LLC,51 East Bethpage Road,Suite 200B,Plainview,New York,11803,,,Suite 200B,,New York,,LLC,40.780519,-73.455207,"(40.780519, -73.455207)"
13246,"Care Connection Home Care, Llc",LHCSA,Licensed Home Care Services Agency,07/10/2013,1100 Wantagh Avenue,,Wantagh,New York,11793,5163084633.0,5163083378.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2012L001,"Care Connection Home Care, Llc",1100 Wantagh Avenue,,Wantagh,New York,11793,,,,,New York,,LLC,40.696309,-73.507684,"(40.696309, -73.507684)"
15189,"Northeast Endoscopy, LLC",DTC,Diagnostic and Treatment Center,07/14/2021,235 North Belle Meade Road,,East Setauket,New York,11733,9176735244.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5151212R,"Northeast Endoscopy, LLC",235 North Belle Meade Road,,East Setauket,New York,11733,,,,,New York,,LLC,,,
4219,Ronkonkoma Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,01/16/1990,161 Lake Shore Road,,Lake Ronkonkoma,New York,11779,5167376689.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Damian Family Care Center,6067.0,7003246R,"Damian Family Care Centers, Inc.","89-56 162nd Street, 3rd Floor",,Jamaica,New York,11432,,,,,New York,,Not for Profit Corporation,40.82571,-73.116646,"(40.82571, -73.116646)"
891,Stony Brook Eastern Long Island Hospital,HOSP,Hospital,01/01/1901,201 Manor Place,,Greenport,New York,11944,6314771000.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Stony Brook University Hospital,245.0,5151001H,State University of New York,178-50 Linden Blvd,,Jamaica,New York,11434,,,,,New York,,State,41.110958,-72.361282,"(41.110958, -72.361282)"
