County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference_1
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd Fillmore,11137 Wayne Rd.,Fillmore,NY,14735,Terry Wagoner,5856108837,,"Sun-Fri 1pm-5pm (closed Thu), Sat 10am-5pm",May 1-November 15,P/M,Y,Y,N,Y,42.48057,-78.09042,POINT (-78.09042 42.48057)
Bronx,170 Farm Stand,1406 Townsend Ave and 170th st,1411 Townsend Ave,Bronx,NY,10452,Regina Harrell,7187585901,http://www.newsettlement.org/170FarmStand,Wed 2pm-6pm,July 10-November 27,M,Y,Y,N,Y,40.84009,-73.9166,POINT (-73.9166 40.84009)
Bronx,Bissel Gardens Farmers' Market-Sat,Baychester Ave below the E 241 St intersection,Baychester Ave and East 241st St,Bronx,NY,10470,Heather Dombrowa,3474272547,http://www.bisselgardens.org,Sat 10am-4pm,July 6-November 23,M,Y,Y,N,Y,40.90151,-73.84702,POINT (-73.84702 40.90151)
Bronx,Bronx Borough Hall Greenmarket,161st & Grand Concourse,900 Concourse Plaza,Bronx,NY,10451,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Tue 8am-4pm,June 4-November 26,M,Y,Y,N,Y,40.82554,-73.91838,POINT (-73.91838 40.82554)
Bronx,Bronx Park East Farmers' Market,2045 Bronx Park E,2222 Bronx Park E,Bronx,NY,12748,Judith Desire,3473917189,http://bxpemarket.com,Sun 9am-4pm,June 2-November 24,M,Y,Y,N,Y,40.8521,-73.86869,POINT (-73.86869 40.8521)
Bronx,Children's Aid-Whitney Young Jr Campus,1919 Prospect Ave Bronx,1919 Prospect Avenue,Bronx,NY,10457,Giovanna Bernal,6466304515,http://childrensaidnyc.org,Thu 1:30pm-4pm,July 11-November 7,M,Y,Y,N,Y,40.8437,-73.88992,POINT (-73.88992 40.8437)
Bronx,Eastchester GrowNYC Farm Stand,"1250 E 229th St. , Northeast Bronx YMCA",E 229th St at Schieffelin Ave,Bronx,NY,10466,Meredith Clark,,http://www.grownyc.org,Wed 9:30am-2:30pm,July 3-November 27,M,Y,Y,N,Y,40.88504,-73.84314,POINT (-73.84314 40.88504)
Bronx,Fordham Farmers' Market,Fordham Plaza Bronx,Fordham Plaza,Bronx,NY,10458,Gail Schorsch,6467172988,,Fri 10am-3pm,June 7-October 25,M,Y,N,N,Y,40.85846,-73.88503,POINT (-73.88503 40.85846)
Bronx,Harvest Home Co-op City Farmers' Market,Asch Loop & Aldrich St.,199 Aldrich St.,Bronx,NY,10475,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Wed/Sat 8am-3pm,June 12-November 20,M,Y,Y,N,Y,40.87025,-73.83097,POINT (-73.83097 40.87025)
Bronx,Harvest Home Hunts Point Farmers' Market,"Southern Blvd, Btwn Barretto & Tiffany Sts",Southern Boulevard between Barretto Street and Tiffany Street,Bronx,NY,10474,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Wed 8am-3pm,June 12-November 20,M,Y,Y,N,Y,40.81323,-73.88711,POINT (-73.88711 40.81323)
Bronx,Harvest Home Jacobi Hospital Fri Farmers' Market,1400 Pelham Parkway,1400 Pelham Parkway,Bronx,NY,10461,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Fri 8am-3pm,June 21-November 15,M,Y,Y,N,Y,40.85738,-73.84631,POINT (-73.84631 40.85738)
Bronx,Harvest Home Mt. Eden Farmers' Market,"Claremont Park Mt. Eden Pkway , and Mount Morris Ave",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Tue/Thu 8am-3pm,June 4-November 19,M,Y,Y,N,Y,40.84305,-73.90947,POINT (-73.90947 40.84305)
Bronx,Harvest Home N Central Bronx Farmers' Market,E. Mosholu Parkway N & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Wed 8am-3pm,June 12-November 20,M,Y,Y,N,Y,40.88046,-73.88385,POINT (-73.88385 40.88046)
Bronx,Harvest Home St. Marys Park Market,E 149th St & Eagle Ave,646 E 149th St,Bronx,NY,10455,Perla Vazquez,2128283361,http://www.harvesthomefm.org,Thu 8am-3pm,July 11-November 14,M,Y,Y,N,Y,40.81099,-73.91173,POINT (-73.91173 40.81099)
Bronx,James Baldwin OLC Farmers' Market,100 W Mosholu Parkway S,100 West Mosholu Parkway South,Bronx,NY,10463,Ray Pultinas,9177553559,http://www.jamesbaldwinoutdoorlearningcenter.org,Sat 10am-3pm,June 15-October 26,M,Y,Y,N,Y,40.88146,-73.88693,POINT (-73.88693 40.88146)
Bronx,La Familia Verde Farmers' Market,Walter Gladwin Park Bronx,East Tremont Ave and Arthur Ave,Bronx,NY,10457,Aleyna Rodriguez,7185831756,http://www.lafamiliaverde.org,Tue 9am-3pm,July 9-November 12,M,Y,Y,N,Y,40.84643,-73.89334,POINT (-73.89334 40.84643)
Bronx,La Familia Verde Highbridge Farmers' Market,1430 Plimpton Ave Bronx,1430 Plimpon Ave,Bronx,NY,10452,Aleyna Rodriguez,7185831756,http://lafamiliaverde.com,Wed 10am-3pm,July 10-November 13,M,Y,Y,N,Y,40.8433,-73.92213,POINT (-73.92213 40.8433)
Bronx,Lincoln Hospital Fri Greenmarket,E 149th St btwn Park & Morris Ave,234 East 149th Street,Bronx,NY,10451,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Fri 8am-3pm,June 21-November 22,M,Y,Y,N,Y,40.8174,-73.92276,POINT (-73.92276 40.8174)
Bronx,Lincoln Hospital Tue Greenmarket,E 149th St btwn Park & Morris Ave,234 East 149th Street,Bronx,NY,10451,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Tue 8am-3pm,June 25-November 26,M,Y,Y,N,Y,40.81754,-73.9241,POINT (-73.9241 40.81754)
Bronx,Morris Heights GrowNYC Farm Stand,85 W Burnside Ave Bronx,85 W Burnside Ave,Bronx,NY,10453,Meredith Clark,,http://grownyc.org/farmstands,Wed 9:30am-2:30pm,July 3-November 27,M,Y,Y,N,Y,40.8547,-73.91035,POINT (-73.91035 40.8547)
Bronx,Morrisania GrowNYC Farm Stand,169th St & Boston Rd at McKinley Square,E. 169th St. and Boston Rd.,Bronx,NY,10456,Meredith Clark,,https://www.grownyc.org/farmstands,Wed 10am-2pm,July 3-November 27,M,Y,Y,N,Y,40.83121,-73.90022,POINT (-73.90022 40.83121)
Bronx,New Roots Community Farm Stand,670 Grand Concourse,670 Grand Concourse,Bronx,NY,10451,Sheryll Durrant,6465328981,,Sat 10am-3pm,July 6-October 26,M,Y,Y,N,Y,40.82172,-73.92524,POINT (-73.92524 40.82172)
Bronx,New York Botanical Garden Farmers' Market,2950 Southern Boulevard Mosholu Gate,2950 Southern Boulevard,Bronx,NY,10458-5126,Pascale Le Draoulec,9148063380,,Wed 10am-3pm,May 22-October 23,M,Y,Y,N,Y,40.86689,-73.88061,POINT (-73.88061 40.86689)
Bronx,Norwood GrowNYC Farm Stand,E Gun Hill Rd & Dekalb Ave,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Meredith Clark,,https://www.grownyc.org/farmstands,Thu 9:30am-2:30pm,Year-round,YR,Y,Y,N,Y,40.88223,-73.88048,POINT (-73.88048 40.88223)
Bronx,Parkchester Greenmarket,Westchester Ave & White Plains Rd,1878 Cross Bronx Service Road South,Bronx,NY,10472,Iliana Garcia,2127887900,http://www.grownyc.org/greenmarket,Fri 8am-3pm,June 28-November 22,M,Y,Y,N,Y,40.82975,-73.87377,POINT (-73.87377 40.82975)
Bronx,Poe Park Greenmarket,E 192nd St                                               btwn Grand Concourse & Valentine,2580 Grand Concourse,Bronx,NY,10458,Iliana Garcia,2127887900,http://www.grownyc.org,Tue 8am-3pm,June 25-November 26,M,Y,Y,N,Y,40.86412,-73.8955,POINT (-73.8955 40.86412)
Bronx,Van Cortlandt Park Alliance Farm Stand,Corner of Gale Place and Orloff Ave,98 Van Cortlandt Park South,Bronx,NY,10563,Sara Kempton,7186011553,,Wed 2pm-7pm,July 10-October 23,M,Y,Y,N,Y,40.88485,-73.89124,POINT (-73.89124 40.88485)
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amanda Poodiack,6077728953,http://www.broomecountyregionalmarket.com,Sat 9am-1pm,Year-round,YR,N,Y,N,Y,42.12921,-75.90609,POINT (-75.90609 42.12921)
Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy East (Rt. 434)",320 Vestal Pkwy East,Vestal,NY,13850,MaKenzie Darrow,6072065742,,Wed/Sat 9am-1pm,May 25-November 27,P/M,Y,N,N,Y,42.08731,-76.04563,POINT (-76.04563 42.08731)
Cattaraugus,Canticle Farm Market,3809 Old State Rd Allegany,3809 Old State Road,Allegany,NY,14706,Gina Anderson,7163730200,http://www.canticlefarm.org,"Tue/Fri 12pm-6pm, Dec-June: Tue only",Year-round,YR,N,Y,N,Y,42.09601,-78.50618,POINT (-78.50618 42.09601)
Cattaraugus,Enchanted Mountains Farmers' Market,1900 Constitution Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Fri 2pm-6pm,May 24-October 25,P/M,Y,Y,Y,Y,42.08304,-78.45343,POINT (-78.45343 42.08304)
Cattaraugus,Little Valley Farmers' Market,103 Rock City St,103 Rock City Street,Little Valley,NY,14475,Tina Armstrong,7162006946,,Thu 2pm-6pm,June 6-September 26,M,Y,Y,N,Y,42.2489,-78.7989,POINT (-78.7989 42.2489)
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd Olean,1685 Olean Portville Rd.,Olean,NY,14760,Shanna Miller,7163722521,,"Mon-Sat 9am-6pm, Sun 9am-5pm",April 15-December 24,P/M/X,Y,Y,N,Y,42.071439,-78.39814,POINT (-78.39814 42.071439)
Cattaraugus,Olean Area Farmers' Market,"Lincoln Park Pavilion, 100 E State St Olean",100 E. State Street,Olean,NY,14760,Stephanie Beneg,7163745257,http://www.oleanfarmersmarket.com,Sat 8am-1pm,May 4-October 26,P/M,Y,Y,Y,Y,42.07726,-78.42821,POINT (-78.42821 42.07726)
Cattaraugus,South Dayton Farmers' Market,108 W Railroad St,108 West Railroad Street,South Dayton,NY,14138,Tina Armstrong,7162006946,,Sat 9am-1pm,May 4-October 26,P/M,Y,Y,N,Y,42.36074,-79.04918,POINT (-79.04918 42.36074)
Cayuga,Auburn Sat Co-op Farmers' Market,96 State St Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Sat 7am-2pm,June 8-October 26,M,Y,Y,Y,Y,42.93406,-76.56985,POINT (-76.56985 42.93406)
Cayuga,Auburn Thu Co-op Farmers' Market,96 State St Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Thu 7am-2pm,June 6-October 31,M,Y,Y,Y,Y,42.93401,-76.57007,POINT (-76.57007 42.93401)
Cayuga,Auburn Tue Co-op Farmers' Market,96 State St Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Tue 7am-2pm,June 4-October 29,M,Y,Y,Y,Y,42.93401,-76.57007,POINT (-76.57007 42.93401)
Cayuga,Centurion Farm Stand,287 Creek Rd Locke,287 Creek Road,Locke,NY,13092,Jeff Saeli,6075925810,,M/T/Thu-Sat 9am-7pm,May 1-November 30,P/M,Y,N,N,Y,42.6309,-76.45455,POINT (-76.45455 42.6309)
Cayuga,Horning's Produce Farm Stand,2213 State Rt 370 Cato,2213 State Rt 270,Cato,NY,13033,Tim Horning,3156513320,,Mon-Sat 9am-6pm,Year-round,YR,Y,Y,N,Y,43.16733,-76.59499,POINT (-76.59499 43.16733)
Cayuga,Morgan's Half Acre Produce Farm Stand,6169 Half Acre Rd Auburn,6169 Half Acre Road,Auburn,NY,13021,Kelli Morgan,3152533008,http://www.morganshalfacreproduce.com,"Mon-Sat 10am-6pm, Sun 10am-4pm",May 10-October 31,P/M,Y,Y,N,Y,42.91629,-76.62457,POINT (-76.62457 42.91629)
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Fri 9am-7pm , Sat-Sun 9am-5pm","Aug 1-March 31, 2023",M/X/W,Y,Y,N,Y,43.01314,-76.50749,POINT (-76.50749 43.01314)
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9 Church St",9 Church St,Fredonia,NY,14063,Anneliese Bruegel,7166802104,,Sat 9am-1pm,May 20-October 28,P/M,N,Y,Y,Y,42.44089,-79.33242,POINT (-79.33242 42.44089)
Chautauqua,Jamestown Mobile Market-Bush Elementary,150 Pardee Ave,150 Pardee Avenue,Jamestown,NY,14701,Nick Weith,7164836405,,Thu 2:30pm-3:30pm,June 13-October 24,M,Y,Y,N,Y,42.09223,-79.21656,POINT (-79.21656 42.09223)
Chautauqua,Jamestown Mobile Market-Chautaqua Center,107 Institute St.,107 Institute Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Wed 1pm-2pm,June 12-September 26,M,Y,Y,N,Y,42.09308,-79.23505,POINT (-79.23505 42.09308)
Chautauqua,Jamestown Mobile Market-Code Building,411 Windsor St,411 Windsor Street,Jamestown,NY,14701,Nick Weith,7164836405,,Thu 4pm-5pm,June 13-October 24,M,Y,Y,N,Y,42.10095,-79.23136,POINT (-79.23136 42.10095)
Chautauqua,Jamestown Mobile Market-Prendergast Library,509 Cherry St.,509 Cherry Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Wed 11:30am-12:30pm,June 12-September 26,M,Y,Y,N,Y,42.09831,-79.24361,POINT (-79.24361 42.09831)
Chautauqua,Jamestown Mobile Market-Silver Tree Seniors,8 Crane St.,9 Crane Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Thu 1pm-2pm,June 12-September 26,M,Y,Y,N,Y,42.09627,-79.23317,POINT (-79.23317 42.09627)
Chautauqua,Jamestown Mobile Market-The Resource Center,880 E 2nd St,880 East 2nd Street,Jamestown,NY,14701,Nick Weith,7164836405,,Wed 10am-11am,June 12-October 23,M,Y,Y,N,Y,42.10486,-79.22483,POINT (-79.22483 42.10486)
Chautauqua,Jamestown Public Market,23 W 3rd St.,23 W. 3rd Street,Jamestown,NY,14701,Nick Weith,7164836405,,Sat 10am-2pm,June 8-October 26,M,Y,Y,N,Y,42.09603,-79.24226,POINT (-79.24226 42.09603)
Chautauqua,Lakewood Farmers' Market,67 Chautauqua Ave,67 Chautauqua Ave,Lakewood,NY,14750,Krysten Sisson,7167638557,,Thu 10am-2pm,June 20-September 5,M,Y,N,N,Y,42.10376,-79.32594,POINT (-79.32594 42.10376)
Chemung,Grove Park Farmers' Market,4th St & Walnut Ave Elmira,Walnut Ave and West 4th St,Elmira,NY,14901,Matthew Glenn,6075464535,,Mon 3pm-6pm,June 3-October 28,M,Y,N,N,Y,42.0921,-76.82013,POINT (-76.82013 42.0921)
Chemung,Wisner Park Farmers' Market,200 N. Main St Elmira,200 N. Main Street,Elmira,NY,14901,Kylene Kiah,6073335378,http://www.wisnermarket.org,Thu 10am-2pm,June 6-September 26,M,Y,Y,N,Y,42.08952,-76.8076,POINT (-76.8076 42.08952)
Chenango,Lamb's Quarters Norwich Farm Stand,213 Pierce Rd. Plymouth,213 Pierce Rd,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquartersorganicfarm.com,"Sun-Tues  12pm-6pm, Thu/Fri  12pm-6pm",Year-round,YR,N,N,N,Y,42.60059,-75.59991,POINT (-75.59991 42.60059)
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquarterorganicfarm.com,"Daily 12pm-6pm, Closed Wed & Sat",Year-round,YR,Y,Y,N,Y,42.60058,-75.59991,POINT (-75.59991 42.60058)
Chenango,Pires Farm Stand,6066 State Hwy 12 Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Sat 9am-4pm, Sun 10am-2pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,POINT (-75.52498 42.54525)
Clinton,Champlain Farmers' Market,Paquette Park Gazebo Main St (Rte 9),1154 US-9,Champlain,NY,12919,Janet McFetridge,5182984152,http://www.vchamplain.com,Sat 9am-12pm,July 6-September 28,M,Y,Y,N,Y,44.98632,-73.44613,POINT (-73.44613 44.98632)
Clinton,Plattsburgh Farmers' and Craft Sat Market,26 Green Street,26 Green Street,Plattsburgh,NY,12901,Sue Carusone,5185786749,http://plattsburghfarmerscraftersmarket.com,Sat 9am-2pm,May 11-October 12,P/M,Y,N,N,Y,44.69902,-73.4469,POINT (-73.4469 44.69902)
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,,Fri 3pm-6pm,June 14-September 14,M,Y,N,N,Y,44.99038,-73.36434,POINT (-73.36434 44.99038)
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Rd Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,Year-round,YR,Y,N,N,Y,44.5786,-73.49804,POINT (-73.49804 44.5786)
Clinton,Shield's Vegetables Farm Stand,6303 State Route 22 Plattsburgh,6303 State Route 22,Plattsburgh,NY,12901,Sam Dyer,5185610473,,Daily 10am-6pm,July 1-October 31,M,Y,Y,N,Y,44.73789,-73.47064,POINT (-73.47064 44.73789)
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 23,9140 Route 23,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Sat 9am-1pm,May 18-November 23,P/M,Y,Y,Y,Y,42.17077,-73.51771,POINT (-73.51771 42.17077)
Columbia,Germantown Farmers' Market,50 Palatine Park Rd,50 Palatine Park Road,Germantown,NY,12526,Lauren Williams,5185675691,,Sat 10am-1pm,May 25-October 12,P/M,Y,N,N,Y,42.135,-73.88551,POINT (-73.88551 42.135)
Columbia,Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts,Columbia St and North 6th St,Hudson,NY,12534,Brandon Bjerke,5183003496,http://www.hudsonfarmersmarketny.com,Sat 9am-1pm,April 20-November 23,P/M/X,Y,Y,Y,Y,42.24866,-73.78369,POINT (-73.78369 42.24866)
Columbia,Hudson Farmers Market (Winter),"Elks Lodge #787, 201 Harry Howard Ave",201 Harry Howard Ave,Hudson,NY,12534,Brandon Bjerke,5183003496,http://www.hudsonfarmersmarketny.com,10am-1pm,"December 7, 2023-April 12, 2024",X/W/P,N,Y,N,Y,42.25828,-73.77341,POINT (-73.77341 42.25828)
Columbia,Kinderhook Farmers' Market,Kinderhook Village Square 1 Hudson St,US Route 9 and Hudson St,Kinderhook,NY,12106,Kim Voltz,5187559293,http://www.kinderhookfarmersmarket.com,Sat 8:30am-12:30pm,May 4-October 12,P/M,Y,N,N,Y,42.3954,-73.69817,POINT (-73.69817 42.3954)
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services, 2704 Lower Cincinnatus Rd",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Paul Halstead,6078368972,,Sat 9am-12pm,May 25-October 5,P/M,Y,N,N,Y,42.53812,-75.89662,POINT (-75.89662 42.53812)
Cortland,Cortland Saturday Farmers' Market,"13 Court St, In front of Grace & Holy Spirit Church",Main St and Orchard St,Cortland,NY,13045,Claribel Ferrer,6077588331,,Sat 8am-2pm,July 6-November 9,M,Y,Y,N,Y,42.60028,-76.18044,POINT (-76.18044 42.60028)
Cortland,Cortland Tuesday Farmers' Market,"13 Court St  , In front of Grace & Holy Spirit Church",Main St and Orchard St,Cortland,NY,13045,Claribel Ferrer,6077588331,,Tue 8am-2pm,July 2-November 12,M,Y,Y,N,Y,42.60028,-76.18044,POINT (-76.18044 42.60028)
Cortland,Dave's Veggies Farm Stand,5178 NYS Route 41 Homer,5178 NY-41,Homer,NY,13077,David Root,6077494955,,Daily 12pm-6pm,May-October,P/M,Y,Y,N,Y,42.659118,-76.203042,POINT (-76.203042 42.659118)
Cortland,Homer Regional Farmers' Market,72 S Main St,72 South Main Street,Homer,NY,13077,Karlyn Fendya,6074235087,,Sat 9:30am-12:30pm,May 25-October 26,M,Y,N,N,Y,42.63418,-76.17894,POINT (-76.17894 42.63418)
Cortland,Plunkett Farms Farm Stand,2180 Tower Rd Cortland,2180 Tower Road,Cortland,NY,13045,John and Carla Plunkett,6077530001,,Daily 9am-6pm,July 1-November 12,M,Y,N,N,Y,42.55495,-76.13123,POINT (-76.13123 42.55495)
Cortland,Valley View Farms Farm Stand,"44 James St Homer, at Old Homer House",44 James St,Homer,NY,13077,Joan Franklin,6077493424,,Thu 1pm-5pm,July 4-October 31,M,Y,N,N,Y,42.63646,-76.18335,POINT (-76.18335 42.63646)
Delaware,Catskill Cattle Farm Stand,96 Laurel Bank Ave Deposit,96 Laurel Bank Ave,Deposit,NY,13754,Lonny Schaefer,6074675762,http://www.catskillcattle.com,"Wed-Sat 11am-6pm, Sun 12pm-4pm",Year-round,YR,N,N,N,Y,42.06673,-75.40725,POINT (-75.40725 42.06673)
Delaware,Delhi Farmers' Market,Courthouse Square Main St,Main St and Court St,Delhi,NY,13753,Meg Kennedy,6074342407,,Wed 10am-2pm,May 1-October 30,P/M,Y,N,N,Y,42.27744,-74.91673,POINT (-74.91673 42.27744)
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Tanya Moyer,5186734242,http://pakatanfarmersmarket.com,"Sat 9am-1pm, Oct/Nov 10am-1pm",May 18-November 30,P/M,Y,N,N,Y,42.20103,-74.59909,POINT (-74.59909 42.20103)
Dutchess,Arlington Farmers' Market,"Vassar College Alumni Lawn , 123 Raymond Ave Poughkeepsie",123 Raymond Ave,Poughkeepsie,NY,12603,Bob Legacy,9144747533,http://www.arlingtonhasit.org,Thu 2pm-6pm,June 6-November 21,M,Y,N,N,Y,41.68187,-73.89636,POINT (-73.89636 41.68187)
Dutchess,Beacon Farmers' Market,223 Main St,Veteran's Place,Beacon,NY,12508,Amy Bandolik,9175754967,http://www.beaconfarmersmarket.org,Sun 10am-2pm,Year-round,YR,Y,Y,Y,Y,41.50402,-73.96823,POINT (-73.96823 41.50402)
Dutchess,Millerton Farmers' Market,"6 Dutchess Ave , Millerton Methodist Church",6 Dutchess Ave.,Millerton,NY,12546,Paul Bengston,5187894259,https://www.neccmillerton.org/farmers-market,Sat 10am-2pm,May 18-December 21,P/M/X,Y,Y,N,Y,41.9543,-73.50977,POINT (-73.50977 41.9543)
Dutchess,Obercreek Farm Stand,"81 New Hamburg Rd , Wappingers Falls",87 New Hamburg Road,Wappingers Falls,NY,12590,Nina Doig,8452189262,http://www.obercreekfarm.com,Wed-Sun 11am-5pm,Year-round,YR,N,N,N,Y,41.58378,-73.93705,POINT (-73.93705 41.58378)
Dutchess,Poughkeepsie Waterfront Farmers' Market,75 North Water St.,75 North Water St.,Poughkeepsie,NY,12601,Jeffery Sasson,8454710589,,Tue 2pm-5:30pm,May 7-October 29,M,Y,Y,Y,Y,41.70891,-73.93896,POINT (-73.93896 41.70891)
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E Market St,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sun 10am-2pm,May 5-December 29,P/M/X,Y,Y,Y,Y,41.92704,-73.91027,POINT (-73.91027 41.92704)
