Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Habilitation,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Developmental Centers And Special Population Services,Location 1
BROOME DDSO,OTSEGO CO. NYSARC  INC.,35 ACADEMY STREET,P.O. BOX 490,ONEONTA,NY,13820,607-432-8595,OTSEGO,http://www.arcotsego.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"35 ACADEMY STREET
ONEONTA, NY 13820
(42.452375159, -75.065637433)"
CENTRAL NEW YORK DDSO,THE ARC (ONEIDA-LEWIS NYSARC CHAPTERS),245 GENESEE STREET,,UTICA,NY,13501,315-735-6477,ONEIDA,http://www.thearcolc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"245 GENESEE STREET
UTICA, NY 13501
(43.09992571, -75.23377531)"
FINGER LAKES DDSO,CATHOLIC CHARITIES FAM AND COMM SVCS DBA,1099 JAY STREET,BUILDING J,ROCHESTER,NY,14611,585-339-9800,MONROE,http://www.cccsrochester.org,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,"1099 JAY STREET
ROCHESTER, NY 14611
(43.158253698, -77.651434447)"
HUDSON VALLEY DDSO,IKAN  INC.,22 MEADOW ROAD,SUITE 2,FLORIDA,NY,10921,845-508-6299,ORANGE,http://www.ikanny.org,N,N,N,Y,N,N,N,N,Y,Y,N,"22 MEADOW ROAD
FLORIDA, NY 10921
(41.338460795, -74.360661206)"
BROOKLYN DDSO,HAMASPIK OF KINGS COUNTY  INC.,4102 14TH AVENUE,,BROOKLYN,NY,11219,718-387-8400,KINGS,http://www.hamaspikkings.org,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,"4102 14TH AVENUE
BROOKLYN, NY 11219
(40.638132124, -73.985518233)"
CAPITAL DISTRICT DDSO,CREATIVE LIVING SOLUTIONS  INC.,292 WASHINGTON AVE EXTENSION,SUITE 103,ALBANY,NY,12203,518-250-5761,ALBANY,,N,N,N,Y,N,N,N,Y,Y,Y,N,"292 WASHINGTON AVE EXTENSION
ALBANY, NY 12203
(42.706588853, -73.863041277)"
CAPITAL DISTRICT DDSO,AIM SERVICES  INC.,4227 ROUTE 50,,SARATOGA SPRINGS,NY,12866,518-587-3208,SARATOGA,http://www.aimservicesinc.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"4227 ROUTE 50
SARATOGA SPRINGS, NY 12866
(43.121723017, -73.721126855)"
BROOKLYN DDSO,WOMEN'S LEAGUE COM. RESIDENCES,1556 38TH STREET,,BROOKLYN,NY,11218,718-853-0900,KINGS,http://www.womensleague.org,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,"1556 38TH STREET
BROOKLYN, NY 11218
(40.637613451, -73.980054992)"
HUDSON VALLEY DDSO,RAYIM OF HUDSON VALLEY  INC.,2 VANBUREN DRIVE,,MONROE,NY,10950,845-782-7700,ORANGE,,N,Y,Y,Y,N,N,N,N,Y,Y,N,"2 VANBUREN DRIVE
MONROE, NY 10950
(41.33899028, -74.170539609)"
CAPITAL DISTRICT DDSO,NYS ARC RENSSELAER COUNTY CHAPTER,79 102ND STREET,,TROY,NY,12180,518-274-3110,RENSSELAER,http://www.renarc.org/,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,"79 102ND STREET
TROY, NY 12180
(42.756064461, -73.675719655)"
LONG ISLAND DDSO,HALO NETWORK INC,221 BROADWAY,SUITE 206,AMITYVILLE,NY,11701,631-493-1745,SUFFOLK,http://www.halonetworkinc.com,N,N,N,Y,N,N,Y,Y,Y,Y,N,"221 BROADWAY
AMITYVILLE, NY 11701
(40.678920749, -73.41725918)"
HUDSON VALLEY DDSO,HAWTHORNE FOUNDATION,5 BRADHURST AVENUE,,HAWTHORNE,NY,10532,914-592-8526,WESTCHESTER,http://hawthornecountryday.org,N,Y,N,Y,N,Y,N,N,Y,Y,N,"5 BRADHURST AVENUE
HAWTHORNE, NY 10532
(41.085925745, -73.798120671)"
WESTERN NEW YORK DDSO,THE ARC ALLEGANY-STEUBEN,50 FARNUM STREET,,WELLSVILLE,NY,14895,585-593-5700,ALLEGANY,http://www.alleganyarc.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"50 FARNUM STREET
WELLSVILLE, NY 14895
(42.127691536, -77.951491577)"
SUNMOUNT DDSO,NORTH STAR INDUSTRIES (DBA),324 CREIGHTON ROAD,PO BOX 608,MALONE,NY,12953,518-651-2245,FRANKLIN,,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,"324 CREIGHTON ROAD
MALONE, NY 12953
(44.853180765, -74.339081394)"
CENTRAL NEW YORK DDSO,UPSTATE CEREBRAL PALSY  INC.,125 BUSINESS PARK DRIVE,2ND FLOOR,UTICA,NY,13502,315-724-6907,ONEIDA,http://www.upstatecp.org,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,"125 BUSINESS PARK DRIVE
UTICA, NY 13502
(43.091814207, -75.286759164)"
CAPITAL DISTRICT DDSO,SCHENECTADY CO. NYSARC  INC.,214 STATE STREET,,SCHENECTADY,NY,12305,518-372-1160,SCHENECTADY,http://www.areschenectady.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"214 STATE STREET
SCHENECTADY, NY 12305
(42.814639212, -73.945719867)"
CENTRAL NEW YORK DDSO,ACCESSCNY INC,1603 COURT STREET,,SYRACUSE,NY,13208,315-455-7591,ONONDAGA,http://www.accesscny.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"1603 COURT STREET
SYRACUSE, NY 13208
(43.079268175, -76.146150835)"
WESTERN NEW YORK DDSO,ASPIRE OF WESTERN NEW YORK,2356 NORTH FOREST ROAD,,GETZVILLE,NY,14068,716-505-5500,ERIE,http://www.aspirewny.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"2356 NORTH FOREST ROAD
GETZVILLE, NY 14068
(43.008672433, -78.775290837)"
CENTRAL NEW YORK DDSO,MADISON CORTLAND CO NYSARC,701 LENOX AVENUE,,ONEIDA,NY,13421,315-363-7934,MADISON,http://www.madisoncortlandarc.org,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,"701 LENOX AVENUE
ONEIDA, NY 13421
(43.086841727, -75.667401923)"
BROOKLYN DDSO,SHEMA KOLAINU,4302 NEW UTRECHT AVENUE,,BROOKLYN,NY,11219,718-686-9600,KINGS,http://www.hear-our-voices.org,N,N,N,Y,N,N,N,N,Y,Y,N,"4302 NEW UTRECHT AVENUE
BROOKLYN, NY 11219
(40.641734875, -73.994453006)"
BROOKLYN DDSO,YALDEINU SCHOOL INC,1600 63RD STREET,,BROOKLYN,NY,11204,718-851-0123,KINGS,http://yaldeinu.net,N,N,N,Y,N,N,N,N,Y,Y,N,"1600 63RD STREET
BROOKLYN, NY 11204
(40.622923747, -73.993522028)"
CENTRAL NEW YORK DDSO,LIBERTY RESOURCES  INC.,1045 JAMES ST.,SUITE 100,SYRACUSE,NY,13203,315-425-1004,ONONDAGA,http://www.liberty-resources.org,N,Y,N,Y,N,Y,N,N,Y,Y,N,"1045 JAMES ST.
SYRACUSE, NY 13203
(43.060525611, -76.132903908)"
CAPITAL DISTRICT DDSO,FAMILY & CHILD SVCS OF SCHENECTADY,1007 MARYLAND AVENUE,,SCHENECTADY,NY,12308,518-393-1369,SCHENECTADY,http://www.familyandchildservice.com,N,N,N,Y,N,N,N,N,Y,Y,N,"1007 MARYLAND AVENUE
SCHENECTADY, NY 12308
(42.811640586, -73.922163618)"
LONG ISLAND DDSO,IT'S MY PLACE INC,150 CORPORATE PLAZA,,ISLANDIA,NY,11749,631-582-4534,SUFFOLK,,N,N,N,Y,N,N,N,N,Y,Y,N,"150 CORPORATE PLAZA
ISLANDIA, NY 11749
(40.808435717, -73.177572411)"
CAPITAL DISTRICT DDSO,SUPPORT-LINK  INC.,383 BAY ROAD,,QUEENSBURY,NY,12804,518-798-2972,WARREN,,N,N,N,Y,N,N,N,Y,Y,Y,N,"383 BAY ROAD
QUEENSBURY, NY 12804
(43.335810613, -73.654033408)"
CENTRAL NEW YORK DDSO,J. M. MURRAY CENTER  INC.,823 NYS RT 13,,CORTLAND,NY,13045,607-756-9913,CORTLAND,http://www.jmmurray.com,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,"823 NYS RT 13
CORTLAND, NY 13045
(42.568444778, -76.222193305)"
LONG ISLAND DDSO,COMMUNITY MAINSTREAMING ASSOC.  INC.,1025 OLD COUNTRY ROAD,SUITE 325,WESTBURY,NY,11590,516-683-0710,NASSAU,http://communitymainstreaming.org/,N,Y,N,Y,Y,N,N,Y,Y,Y,N,"1025 OLD COUNTRY ROAD
WESTBURY, NY 11590
(40.755442097, -73.557895326)"
HUDSON VALLEY DDSO,AHIVIM INC,15 ADELAKE FAREWAY,,MONROE,NY,10950,845-774-7000,ORANGE,http://www.ahivim.org,N,N,N,Y,N,N,Y,N,Y,Y,N,"15 ADELAKE FAREWAY
MONROE, NY 10950
(41.327821268, -74.14301193)"
HUDSON VALLEY DDSO,YEDEI CHESED  INC.,48 SCOTLAND HILL ROAD,,CHESTNUT RIDGE,NY,10977,845-425-0887,ROCKLAND,http://www.yedeichesed.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"48 SCOTLAND HILL ROAD
CHESTNUT RIDGE, NY 10977
(41.098321993, -74.04148244)"
BROOME DDSO,FRANZISKA RACKER CENTERS  INC.,3226 WILKINS ROAD,,ITHACA,NY,14850,607-272-5891,TOMPKINS,http://www.racker.org,N,Y,N,Y,N,N,N,N,Y,Y,N,"3226 WILKINS ROAD
ITHACA, NY 14850
(42.493227298, -76.557794901)"
CENTRAL NEW YORK DDSO,OSWEGO COUNTY OPPORTUNITIES  INC.,239 ONEIDA STREET,,FULTON,NY,13069,315-598-4710,OSWEGO,http://www.oco.org/,N,Y,N,Y,N,Y,N,N,Y,Y,N,"239 ONEIDA STREET
FULTON, NY 13069
(43.32557195, -76.415050503)"
BROOKLYN DDSO,BRAVERHOOD  LTD.,1527 60TH STREET,,BROOKLYN,NY,11219,718-336-6073,KINGS,http://www.hihfs.org,N,N,N,Y,N,Y,N,N,Y,Y,N,"1527 60TH STREET
BROOKLYN, NY 11219
(40.62582728, -73.993202426)"
