Year,County,Municipality,DEC ID,Facility Name,SIC Code,VOC (tons),NOx (tons),CO (tons),CO2 (tons),Particulates (tons),PM10 (tons),PM2.5 (tons),HAPS (tons),SO2 (tons),Location
2013,MONROE,ROCHESTER,8261400117,AMERICAN PACKAGING CORP,2671,145.56,2.72,2.28,3176.55,4.56,4.47,2.72,0,0.02,POINT (-77.61632 43.1558)
2019,STEUBEN,BATH,8462400159,BATH LFGTE FACILITY,4911,0.4,5.34,17.75,2197.52,0,0,0.14,0.17,0.59,POINT (-77.31785 42.33799)
2011,QUEENS,QUEENS (6302),2630200012,TALLMAN ISLAND WASTEWATER TREATMENT PLANT,4952,2.34,108.48,9.92,10393.72,2.73,2.73,2.56,0.21,6,POINT (-73.82999 40.714)
2012,QUEENS,QUEENS (6301),2630100005,STEINWAY & SONS - QUEENS FACILITY,3931,28.86,2.19,1.81,2593.03,0.17,0.17,0.16,1.08,0.01,POINT (-73.82999 40.714)
2020,STEUBEN,PAINTED POST,8464200009,ERWIN MANUFACTURING COMPLEX,3299,48.23,22.4,38.87,18931.64,26.68,0.57,26.11,1.62,0.12,POINT (-77.09055 42.16034)
2018,ALBANY,GLENMONT,4012200044,BETHLEHEM ENERGY CENTER,4911,15.95,97.7,19.45,2115732.81,49.19,0,48.76,0,10.68,POINT (-73.77026 42.60476)
2017,BRONX,BRONX,2600500115,BRONX PSYCHIATRIC CENTER,8063,0,0,0,0,0,0,0,0,0,POINT (-73.92309 40.826)
2019,ERIE,BUFFALO,9140200773,ENGINEERED COMPOSITES INC,3089,0.09,0.32,0.27,383.58,0.23,0,0.02,0,0,POINT (-78.87846 42.88545)
2014,CHAUTAUQUA,FRENCH CREEK,9064200016,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 224,4922,1.72,9.29,12.06,4660.46,0.5,0,0.07,0,0.16,POINT (-79.71655 42.06855)
2010,MONROE,GATES,8262600038,CRYOVAC INC,2671,0.08,1.46,1.23,1744.93,0.11,0.11,0.04,0,0.01,POINT (-73.63817 43.09146)
2013,ORANGE,MIDDLETOWN,3330900040,ALLIANCE ENERGY - SHOEMAKER GAS TURBINE FACILITY,4911,0.09,7.84,1.47,1715.87,0.11,0.11,0.11,0,0.05,POINT (-74.42261 41.44584)
2020,NEW YORK,NEW YORK,2620200167,COLUMBIA UNIVERSITY-410 W 118TH ST,4961,4.67,35.56,28.89,41163.33,2.65,0.03,2.6,0,0.21,POINT (-74.00712 40.71453)
2013,QUEENS,QUEENS (6307),2630700276,INTERSTATE BRANDS CORPORATION,2051,0.02,0.42,0.35,501.6,0.03,0.03,0.03,0,0,POINT (-73.82999 40.714)
2018,ROCKLAND,PEARL RIVER,3392400025,PEARL RIVER CAMPUS LLC,6512,4.81,97.74,24.87,103422.12,3.11,0.05,3.05,0,0.7,POINT (-74.0243 41.05985)
2019,MONROE,ROCHESTER,8261400888,ROCHESTER SILVER WORKS,3341,0.6,2.89,0.13,1738.31,4.86,0,0,0.29,0.06,POINT (-77.61632 43.1558)
2019,NEW YORK,NEW YORK,2620400059,MOUNT SINAI HOSPITAL,8062,1.31,20.26,35.18,49468.44,0.02,1.58,1.74,0,0.44,POINT (-74.00712 40.71453)
2010,SUFFOLK,ISLIP,1472803067,BRENTWOOD PLANT,4911,0.68,3.2,0.57,37920.29,2.14,2.14,2.14,0,0.19,POINT (-73.218 40.72817)
2011,MONROE,ROCHESTER,8261400125,SUNOCO PARTNERS M & T ROCHESTER TERMINAL,4226,22.61,1.88,4.71,0,0,0,0,0,0.02,POINT (-77.61632 43.1558)
2022,RENSSELAER,RENSSELAER,4381400003,CENEX TERMINALS,5171,29.03,0.09,0.01,83.38,0.01,0,0,1.22,0.12,POINT (-73.74127 42.64472)
2019,ONTARIO,STANLEY,8324400004,ONTARIO CO LANDFILL,4953,4.3,2.73,10.04,16651.65,0,0.73,0.01,0.5,1.99,POINT (-77.09743 42.82485)
2011,KINGS,BROOKLYN (6101),2610100381,COGEN CORP-111 LIVINGSTON ST,6512,9.25,179.02,28.93,7560.9,3.83,3.83,3.83,0,3.16,POINT (-73.99036 40.69245)
2012,NEW YORK,MANHATTAN (6205),2620500246,NYU CENTRAL PLANT,8221,2.79,44.89,58.2,87160.84,5.68,0.65,0.6,0,2.79,POINT (-74.00601 40.7145)
2020,SUFFOLK,PORT JEFFERSON,1472200107,PORT JEFFERSON POWER STATION,4911,14.22,167.34,217.45,323470.33,24.6,5.36,18.94,0,59.73,POINT (-73.07007 40.94624)
2016,SCHENECTADY,SCHENECTADY,4422800076,VON ROLL USA INC,2821,38.04,4.9,3.92,5883.3,0.58,0.12,0.12,0,0.03,POINT (-73.94122 42.81238)
2017,NEW YORK,NEW YORK,2620300047,TAINO TOWERS-2253 THIRD AVE,6513,0,0,0,0,0,0,0,0,0,POINT (-74.00712 40.71453)
2016,NIAGARA,NIAGARA FALLS,9291100112,OCCIDENTAL CHEMICAL CORP - NIAGARA PLANT,2812,0.42,1.54,10.45,2015.16,6.7,5.74,0.04,3.6,0.05,POINT (-79.05551 43.096)
2019,NASSAU,LAWRENCE,1282001549,SHELL LONG ISLAND TERMINAL,5171,30.46,0,0,0,0,0,0,0,0,POINT (-73.73663 40.61364)
2010,SARATOGA,SARATOGA SPRINGS,5411500011,QUADGRAPHICS,2752,72.37,8.23,1.65,9652.5,0.25,0.25,0,0,0.05,POINT (-73.78441 43.08412)
2016,RICHMOND,STATEN ISLAND,2649900029,NYCDOS - FRESH KILLS LANDFILL,4953,5.09,10.84,13.4,20761.72,2.84,2.65,0,0.03,0.42,POINT (-74.07527 40.64242)
2010,KINGS,BROOKLYN (6105),2610500263,STARRETT CITY POWER PLANT,6514,7.36,212.4,63.6,94038.38,5.91,0,0,0,1.47,POINT (-73.99036 40.69245)
2012,KINGS,BROOKLYN (6104),2610401298,WYCKOFF HEIGHTS MEDICAL CENTER,8062,0.39,4.62,3.65,5087.48,0.32,0.32,0.32,0,0.06,POINT (-73.99036 40.69245)
2011,WESTCHESTER,MOUNT PLEASANT,3553400189,VALHALLA CAMPUS (GRASSLANDS),9199,1.39,24.78,20.29,28740,1.9,1.89,1.84,0,1.12,POINT (-73.86152 41.16287)
2022,WESTCHESTER,VALHALLA,3553400189,VALHALLA CAMPUS (GRASSLANDS),9199,1.23,24.72,18.72,29647.02,2.06,0.3,1.76,0.28,4.19,POINT (-73.77298 41.07378)
2017,ERIE,AMHERST,9142200093,INTERNATIONAL IMAGING,3955,20.86,6.38,1.65,5970.79,0.05,0.01,0.04,0,0.03,POINT (-78.79976 42.97839)
2019,HERKIMER,WEST WINFIELD,6215600018,TGP COMPRESSOR STATION 245,4922,18.66,106.99,78.86,22278.05,2.72,0,4.38,0,1.58,POINT (-75.19378 42.88517)
2013,ONTARIO,SENECA,8324400040,ONTARIO COUNTY LFG TO ENERGY FACILITY,4911,31.23,28.01,319.95,50691.55,12.76,0,0,3.88,31.17,POINT (-77.05335 42.80424)
2017,CHAUTAUQUA,CLYMER,9064200016,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 224,4922,5.69,17.02,21.37,6198.08,0.82,0,0,0,0.03,POINT (-79.62799 42.02083)
2012,BROOME,VESTAL,7034800027,SUNY AT BINGHAMTON,8221,0.56,55.52,9.36,3282,28.21,27.93,20.83,5.65,71.66,POINT (-76.00387 42.09474)
2010,BRONX,BRONX (6002),2600200055,NORTH CENTRAL BRONX HOSPITAL,8062,0.51,8.89,7.02,10125.1,0.64,0.64,0.64,0,0.49,POINT (-73.92309 40.826)
2011,MONROE,WHEATLAND,8265600008,MONROE LIVINGSTON SANITARY LANDFILL,4953,7.34,30.11,56.69,6849,0.95,0,0,0,3.89,POINT (-77.84201 43.00357)
2010,ERIE,BUFFALO,9140200021,AURUBIS BUFFALO INC,3351,13.6,12.28,931.69,33643.93,8.03,3.37,3.37,0,0.17,POINT (-78.87846 42.88545)
2022,ALBANY,ALBANY,4010100070,BUCKEYE ALBANY TERMINAL LLC,4226,22.71,10.92,12.43,11700.66,0.8,0,0.79,1.17,0.06,POINT (-73.75521 42.65155)
2021,NASSAU,INWOOD,1282000947,GLOBAL COMPANIES LLC - INWOOD TERMINAL,5171,80.68,0,0,0,0,0,0,2.17,0,POINT (-73.74661 40.61624)
2017,ALBANY,ALBANY,4010100070,BUCKEYE ALBANY TERMINAL LLC,4226,10.81,8.62,8.3,10545.84,0.68,0,0.68,0,0.05,POINT (-73.75521 42.65155)
2013,WASHINGTON,KINGSBURY,5534400001,WHEELABRATOR HUDSON FALLS,4953,1.33,268.27,31.08,36662.06,5.89,0.34,0,16.06,22.22,POINT (-73.58595 43.30063)
2012,ROCKLAND,ORANGETOWN,3392400178,ROCKLAND PSYCHIATRIC CENTER,8063,0.36,6.67,5.53,7879.62,0.51,0.5,0.5,0,0.15,POINT (-73.95512 41.04593)
2018,NIAGARA,NIAGARA FALLS,9291100111,DUREZ NIAGARA,2821,0.99,6.95,1.74,10978.01,0.79,0.5,0,0,0.04,POINT (-79.05551 43.096)
2012,ROCKLAND,RAMAPO,3392600059,ALLIANCE ENERGY- HILLBURN GAS TURBINE FACILITY,4911,0.01,2.4,0.11,269.87,0.02,0.02,0.02,0,0.01,POINT (-74.16848 41.14121)
2010,NEW YORK,MANHATTAN (6205),2620500182,MUTUAL REDEVELOPMENT HOUSES,6513,10.36,71.66,63.32,23112.49,7.66,7.65,6.01,0,8.74,POINT (-74.00601 40.7145)
2014,NIAGARA,LEWISTON,9292400016,MODERN LANDFILL INC,4953,24.47,1.57,0.34,53.13,0.13,0.02,0.1,0,0.1,POINT (-79.04442 43.17407)
2014,ORANGE,WALLKILL,3335200039,BALL METAL BEVERAGE CONTAINER CORP,3411,41.19,8.7,6.96,15583.5,0.97,0.97,0.01,0,0.07,POINT (-74.36893 41.46396)
2020,QUEENS,QUEENS,2630401377,VERNON BLVD PLANT,4911,1.1,4.92,3.42,40630.59,2.28,0,2.28,0,0.2,POINT (-73.82999 40.714)
2013,CLINTON,CHAMPLAIN,5092800017,WYETH PHARMACEUTICALS,2833,6.21,53.45,20.82,28808.82,2.23,2.06,2.06,0.33,0.68,POINT (-73.44604 44.98616)
2016,ROCKLAND,CHESTNUT RIDGE,3392000682,PAR PHARMACEUTICAL INC,2834,6.12,1.93,1.62,2252.84,0.21,0,0.15,0,0.01,POINT (-74.04569 41.10163)
2010,WAYNE,MACEDON,8543000017,PLIANT (BERRY PLASTICS MACEDON),2673,20.38,6.4,38.55,7488,0.51,0.49,0.07,0,0.05,POINT (-77.29802 43.06955)
2022,OSWEGO,OSWEGO,7351200030,NRG OSWEGO HARBOR POWER,4911,2.48,80.8,22.83,74187.48,3.53,0.88,2.05,1.55,171.67,POINT (-76.51119 43.45646)
2013,ONTARIO,EAST BLOOMFIELD,8322600023,COMMODORE TECHNOLOGY/PLASTICS LLC,3086,43.97,0,0,0,0.93,0,0,0,0,POINT (-77.43471 42.89506)
2015,QUEENS,QUEENS (6308),2630800513,BAYSWATER / JAMAICA BAY PEAKING FACILITY,4911,1.14,14.17,6.55,166980.03,12.18,0,12.09,0,0.89,POINT (-73.82999 40.714)
2019,CAYUGA,AUBURN,7050100044,NUCOR STEEL AUBURN INC,3312,6.15,65.33,397.31,116718.27,18.39,0.35,9.76,0,34.54,POINT (-76.56591 42.92936)
2016,ORANGE,NEW WINDSOR,3334800087,GLOBAL COMPANIES - NORTH TERMINAL,5171,0.33,0.01,0,10.72,0,0,0,0,0,POINT (-74.02274 41.47742)
2019,WESTCHESTER,YONKERS,3551800342,YONKERS JOINT WWTP,4952,17.45,3.23,4.37,9316.83,0.01,0.47,1.04,0,0.37,POINT (-73.89874 40.93299)
2016,MONROE,ROCHESTER,8261400823,CARESTREAM HEALTH AT EASTMAN BUSINESS PARK,3861,0.16,0.08,0.07,113.48,0.06,0,0,0.27,0,POINT (-77.61632 43.1558)
2013,STEUBEN,BATH,8462400031,NEW BATH LANDFILL,4953,2.69,0.08,0.02,2244.61,0,0,0,0.2,0,POINT (-77.31785 42.33799)
2018,SUFFOLK,SOUTH YAPHANK,1472204426,CAITHNESS LONG ISLAND ENERGY CENTER,4911,8.48,59.58,8.59,941292.13,13.51,7.27,6.24,0,5.1,POINT (-72.93457 40.84232)
2017,NIAGARA,LOCKPORT,9292000008,TENNESSEE GAS PIPELINE CO COMPRESSOR STATION 230-C,4922,0.87,46.52,41.56,73527.6,4.41,0,4.22,0,0.65,POINT (-78.69511 43.16926)
2018,CHEMUNG,ELMIRA,8072800004,CHEMUNG COUNTY LANDFILL,4953,2.61,6.86,37.2,28386.51,1.69,1.69,0,0.93,1.71,POINT (-76.79893 42.09064)
2010,QUEENS,QUEENS (6301),2630100185,ASTORIA GENERATING STATION,4911,57.82,877.41,519.58,1330445.82,95.45,75,74.39,1.87,220.63,POINT (-73.82999 40.714)
2015,SUFFOLK,BROOKHAVEN,1472200105,HOLTSVILLE GT & LNG FACILITIES,4911,0.12,155.27,1.42,31891.9,4.41,4.3,0.09,0,0.21,POINT (-72.91224 40.7737)
2018,OSWEGO,OSWEGO,7354200024,SOUTH OSWEGO TERMINAL,5171,0,0,0,0,0,0,0,0,0,POINT (-76.51119 43.45646)
2016,ERIE,TONAWANDA,9146400113,TONAWANDA COKE CORPORATION,3312,20.07,115.63,28.97,40046.13,62.64,6.07,6.32,2.31,277.34,POINT (-78.88617 43.01888)
2010,ONTARIO,GENEVA,8320500041,GUARDIAN GENEVA FLOAT GLASS FACILITY,3211,0.36,7.14,5.34,107656.51,0.49,0.49,0.48,0,0.06,POINT (-76.98218 42.86642)
2019,QUEENS,NEW HYDE PARK,2630700290,LONG ISLAND JEWISH MEDICAL CENTER,8062,4.55,24.71,28.47,30157.05,0,0.7,1.25,0,0.57,POINT (-73.68028 40.73361)
2021,CAYUGA,AUBURN,7055200004,OWENS-BROCKWAY GLASS CONTAINER INC,3221,25.9,324.23,25.74,6541.84,72.12,0,0.4,0.61,166.1,POINT (-76.56591 42.92936)
2011,ONEIDA,ROME,6301300183,GRIFFISS CENTRAL HEAT PLANT,4931,0.64,11.55,9.7,13860,0.88,0.87,0.87,0,0.07,POINT (-75.45336 43.21516)
2017,ALBANY,FEURA BUSH,4012200004,OWENS-CORNING INSULATING SYSTEMS- FEURA BUSH,3296,54.45,73.13,191.6,47766.57,208.03,45.76,162.27,0.01,9.12,POINT (-73.87971 42.57756)
2010,SARATOGA,SARATOGA SPRINGS,5411500002,BALL METAL BEVERAGE CONTAINER CORP,3411,64.86,0.07,0.04,11455.47,0.07,0.07,0.03,0,0,POINT (-73.78441 43.08412)
2017,KINGS,BROOKLYN,2610700012,NYC-HH - CONEY ISLAND HOSPITAL,8062,0.59,2.77,4.17,5646.34,0.52,0.37,0.15,0,0.13,POINT (-73.99036 40.69245)
2020,BRONX,BRONX,2600500139,PARKCHESTER SOUTH CONDOMINIUM,6513,2.3,79.84,34.95,50868.49,3.28,0.09,3.17,0,0.26,POINT (-73.92309 40.826)
2014,STEUBEN,BATH,8462400159,SREC BATH LFGTE FACILITY,4911,8.72,29.94,99.76,16195.49,1.02,1.02,0,1.06,1.04,POINT (-77.31785 42.33799)
2013,BRONX,BRONX (6007),2600700724,HELL GATE,4911,0.6,3.03,0.88,29113.88,1.83,1.83,1.83,0,0.18,POINT (-73.92309 40.826)
2013,SARATOGA,MALTA,5414000189,FAB 8,3674,13.72,10.89,10.15,19122.07,1.25,1.25,0.61,4.15,0.19,POINT (-73.79262 42.97119)
2017,YATES,DRESDEN,8573600004,GREENIDGE STATION,4911,1.47,29.77,28.32,103962.63,6.79,0,6.78,0,0.62,POINT (-76.9555 42.68081)
2010,ONONDAGA,SYRACUSE,7311500204,SYRACUSE UNIVERSITY - STEAM STATION,8221,3.69,139.88,41.96,66358.57,11.39,7.6,3.8,0,0.31,POINT (-76.14738 43.05042)
2011,OSWEGO,VOLNEY,7355800001,INTERFACE SOLUTIONS INC,3053,16.42,1.55,1.12,1578,9.31,9.31,9.31,0,0.12,POINT (-76.35699 43.34275)
2014,SUFFOLK,BROOKHAVEN,1472200032,BROOKHAVEN NATIONAL LABORATORY,4961,3.46,33.08,29.39,41586.67,2.75,0.05,2.64,0,1.34,POINT (-72.91224 40.7737)
2014,SUFFOLK,ISLIP,1472801480,BIMBO BAKERIES USA INC.,7538,6.7,2.38,1.91,2689.16,0.19,0.09,0.09,0,0.02,POINT (-73.218 40.72817)
2021,MONROE,WEST HENRIETTA,8263200225,HAMMER PACKAGING CORP,2752,48.04,0.09,0.08,107.84,0.01,0,0.01,3.23,0,POINT (-77.66269 43.04036)
2018,KINGS,BROOKLYN,2610100381,COGEN CORP-111 LIVINGSTON ST,6512,4.02,61.1,14.39,7118.97,3.73,0.29,3.45,0,3.33,POINT (-73.99036 40.69245)
2014,SUFFOLK,BABYLON,1472000355,BERGEN POINT WWTP,4952,5.03,2.3,1.77,2739.84,0.19,0.03,0.15,0,0.14,POINT (-73.32601 40.69573)
2022,ALBANY,GLENMONT,4012200052,NORTH ALBANY TERMINAL CO - GLENMONT TERMINAL,5171,23.36,0.06,0.01,63.78,0.01,0,0,0.98,0,POINT (-73.77026 42.60476)
2017,CAYUGA,AUBURN,7050100044,NUCOR STEEL AUBURN INC,3312,5.38,72.86,412.67,122285.11,22.68,12.54,10.01,0,23.32,POINT (-76.56591 42.92936)
2021,ORANGE,MIDDLETOWN,3330900064,GENPAK LLC MIDDLETOWN MAIN PLANT,3086,36.14,2.12,0.42,2550.53,0.24,0.16,0,0,0.01,POINT (-74.42261 41.44584)
2010,BRONX,BRONX (6007),2600700259,NYC-DOC - RIKERS ISLAND,9223,2.68,36.27,40.3,58233.84,3.76,3.74,3.71,0,3.09,POINT (-73.92309 40.826)
2018,ONONDAGA,BALDWINSVILLE,7313600002,ANHEUSER BUSCH BALDWINSVILLE BREWERY,2082,89.41,44.85,27.45,30284.15,6.48,0.43,2.02,0,37.63,POINT (-76.33276 43.15867)
2020,NIAGARA,NIAGARA FALLS,9291100113,"COVANTA NIAGARA I, LLC",4953,6.55,679.42,91.13,771009.37,15.86,0.03,4.05,47.79,112.41,POINT (-79.05551 43.096)
2022,NEW YORK,NEW YORK,2620200032,CON ED-59TH ST STATION,4961,11.1,221.14,58.71,227896.34,14.82,0.12,14.62,2.38,3.55,POINT (-74.00712 40.71453)
2016,LIVINGSTON,PIFFARD,8245200008,TGP COMPRESSOR STATION 233,4922,0,0.04,0.05,14.46,0,0,0,0,0,POINT (-77.85233 42.8284)
2011,GENESEE,OAKFIELD,8183600007,LAPP INSULATORS LLC,3264,1.76,12.09,7.25,1130.17,12.42,0.58,0.23,0,0.05,POINT (-78.27071 43.06599)
2014,CLINTON,PLATTSBURGH,5094200106,SARANAC POWER PARTNERS COGENERATION FAC,4911,6.09,50.61,1.8,164667.72,15.91,15.9,0.01,0,1.99,POINT (-73.45303 44.69913)
2018,MONTGOMERY,FONDA,4273200014,KEYMARK CORP PLANT,3354,6.36,22.21,18.61,26654.67,6.08,0.78,4.39,0.58,0.13,POINT (-74.3745 42.95452)
2015,SUFFOLK,HUNTINGTON,1472600130,NORTHPORT POWER STATION,4911,70.05,1133.54,1315.28,1837739.04,241.1,2.63,100.65,0,1589.53,POINT (-73.42913 40.8722)
2010,DUTCHESS,EAST FISHKILL,3132800025,"IBM EAST FISHKILL FACILITY, HUDSON VALLEY RESEARCH PARK",3674,3.15,57.24,48.08,70523.3,4.35,4.33,4.33,0,0.34,POINT (-73.79569 41.55343)
2019,ALBANY,COHOES,4012600033,TOWN OF COLONIE LANDFILL FACILITY,4953,2.97,0.6,2.54,842.93,0,0.12,0,0.4,0.46,POINT (-73.70009 42.77465)
2013,ALBANY,COEYMANS,4012400001,LAFARGE BUILDING MATERIALS INC,3241,116.58,2397,532.76,1079022.78,1440.6,756.03,292.18,119.6,5418.02,POINT (-73.7926 42.47432)
2011,MONROE,HENRIETTA,8263200225,HAMMER PACKAGING CORP,2752,39.42,0.28,0.23,316.07,1.8,1.8,0,0,0,POINT (-77.61339 43.05942)
2018,KINGS,BROOKLYN,2610200116,GOWANUS GENERATING STATION,4911,0.36,61.54,11.18,19839.45,1.6,0,0,0,0.53,POINT (-73.99036 40.69245)
2014,KINGS,BROOKLYN (6101),2610100042,CON EDISON - HUDSON AVE STATION,4911,0.28,6.17,0.69,2124.84,0.83,0.68,0.09,0,0.58,POINT (-73.99036 40.69245)
2016,ORANGE,NEW WINDSOR,3334800084,METAL CONTAINER CORP,3411,112.17,11.1,9.32,13241.37,5.33,3.76,0.84,0.04,0.07,POINT (-74.02274 41.47742)
2020,SUFFOLK,PORT JEFFERSON,1472204141,PORT JEFFERSON ENERGY CENTER,4911,1.17,5.18,61.6,49902.59,2.02,0,2.02,0,0.26,POINT (-73.07007 40.94624)
2010,GREENE,CATSKILL,4192200055,ATHENS GENERATING PLANT,4911,9.57,151.25,961.45,2549381.5,66.44,66.44,66.3,0,66.13,POINT (-73.86422 42.21773)
2021,CHENANGO,NORWICH,7084200017,KERRY,2099,17.2,4.96,4.06,5919.63,0.41,0.01,0.37,17.82,0.03,POINT (-75.52426 42.53654)
2016,MONROE,ROCHESTER,8269900126,RED-ROCHESTER LLC AT EASTMAN BUSINESS PARK,4931,16.3,2022.42,106.69,803054.03,349.68,139.84,207.14,249.44,8507.91,POINT (-77.61632 43.1558)
2012,NASSAU,OYSTER BAY,1282402146,GLENWOOD LANDING ENERGY CENTER,4911,1.48,7.74,47.34,83758.23,1.83,1.83,1.82,0,0.42,POINT (-73.53412 40.87239)
2016,DELAWARE,DELHI,4122800027,FCINA - DELHI,2023,0.47,4.45,7.23,10403.27,8.32,0,8.32,0.02,0.05,POINT (-74.92022 42.27484)
2019,KINGS,BROOKLYN,2610100016,NAP - KENT AVENUE FACILITY,2759,54.06,0.38,0.32,452.4,0,0.03,0,0,0,POINT (-73.99036 40.69245)
2010,NASSAU,HEMPSTEAD,1282000357,FREEPORT POWER PLANT #1,4911,0.17,2.68,1.3,620.87,0.11,0.11,0.11,0,0.17,POINT (-73.62194 40.7101)
2013,MONROE,ROCHESTER,8261400823,CARESTREAM HEALTH AT EASTMAN BUSINESS PARK,3861,0.27,0.14,0.12,176.35,0.02,0.01,0,0.41,0,POINT (-77.61632 43.1558)
2015,KINGS,BROOKLYN (6105),2610500149,TRANSCONTINENTAL ULTRA FLEX INC.,2759,66.26,5.24,5.37,3790.24,2.24,0.27,0.12,0,0.02,POINT (-73.99036 40.69245)
2012,ALBANY,ALBANY,4010100070,BUCKEYE ALBANY TERMINAL LLC,4226,40.66,20.32,8.68,8214,1.74,1.74,0.52,0,7.36,POINT (-73.75521 42.65155)
2020,ERIE,TONAWANDA,9146400030,SUMITOMO RUBBER USA LLC,3011,82.61,35.84,22.03,31664.16,5.8,1.79,2.18,6.75,0.17,POINT (-78.88617 43.01888)
2019,BRONX,BRONX,2600200105,MONTEFIORE MEDICAL CTR-111 E 210TH ST,8062,2.44,19.44,27.36,31571.2,0,3.68,0.06,0,2.33,POINT (-73.92309 40.826)
2016,ONONDAGA,LAFAYETTE,7313400022,TENNESSEE GAS PIPELINE CO - COMP STA 241,4922,52.75,96.9,96.14,44700.2,21.81,0,0,0,0.22,POINT (-76.1052 42.89229)
2020,SUFFOLK,E NORTHPORT,1472600790,HUNTINGTON RESOURCE RECOVERY FACILITY,4953,0.7,363.7,52.52,123886.36,0.49,0.42,0,4.07,4.73,POINT (-73.31146 40.87931)
2015,ERIE,TONAWANDA,9146400113,TONAWANDA COKE CORP,3312,26.36,131.6,32.57,42244.56,179.73,6.68,0.26,3.02,336.18,POINT (-78.88617 43.01888)
2019,SUFFOLK,EDGEWOOD,1472804190,BEMIS COMPANY INC,2671,31.94,0,0,5850,0,0,0,0,0,POINT (-74.21237 42.14037)
2021,NIAGARA,NIAGARA FALLS,9291100160,WASHINGTON MILLS ELECTRO MINERALS,3291,0.06,4,0.88,1264.31,15.02,0.09,0,0,0.01,POINT (-79.05551 43.096)
2011,RICHMOND,"STATEN ISLAND (6403, 6404)",2649900029,STATEN ISLAND LANDFILL,4953,20.11,49.76,30.05,12757.65,3.59,3.36,0,0.09,5.59,POINT (-74.07527 40.64242)
2019,LEWIS,LYONSDALE,6233800012,LYONSDALE BIOMASS LLC,4911,0,0,0,0,0,0,0,0,0,POINT (-75.30909 43.61885)
2015,NEW YORK,MANHATTAN (6202),2620200007,NORTH RIVER WASTEWATER TREATMENT PLANT,4952,6.62,242.84,122.79,34651.78,6.97,6.97,0,0,8.98,POINT (-74.00601 40.7145)
